date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,236,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,211,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,203,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
