date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-02-01,2015-2,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-03-01,2015-3,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-04-01,2015-4,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-05-01,2015-5,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-06-01,2015-6,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-07-01,2015-7,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-08-01,2015-8,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-09-01,2015-9,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-10-01,2015-10,0.0,0.0,,,,,,,3526.0508681869924,,0.0,0.0,,,0.0,0.0,,,,,,,,,308.75200999686575,0.0,,,0.0,0.0,,,,
2015-11-01,2015-11,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,6360.838528619593,4433.321292265183,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2015-12-01,2015-12,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-01-01,2016-1,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-02-01,2016-2,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-03-01,2016-3,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-04-01,2016-4,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-05-01,2016-5,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-06-01,2016-6,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-07-01,2016-7,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-08-01,2016-8,7200.000000000001,7200.000000000001,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-09-01,2016-9,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-10-01,2016-10,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-11-01,2016-11,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2016-12-01,2016-12,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-01-01,2017-1,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-02-01,2017-2,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-03-01,2017-3,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-04-01,2017-4,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-05-01,2017-5,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-06-01,2017-6,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-07-01,2017-7,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-08-01,2017-8,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-09-01,2017-9,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-10-01,2017-10,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
2017-11-01,2017-11,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
